Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.64.69.20:41034-20.42.73.24:443,10.64.69.20,41034,20.42.73.24,443,6,2025-08-16T10:06:55.883809,326081,1,1,66,66,66,66,66.0,0,66,66,66.0,0,404.8073944817392,6.133445370935442,326081.000000,0,326081.000000,326081.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.066722685467721,3.066722685467721,66,66,66.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,66.0,66.0,66.0,20,0,0.0,0.0,0,0.0,0.0,1,66,1,66,0,0,0,32,326081.000000,0,326081.000000,326081.000000,0,0,0,0
10.64.69.76:52285-10.64.69.20:5000,10.64.69.76,52285,10.64.69.20,5000,6,2025-08-16T10:06:56.102848,30349,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,45207.42034333915,329.5001482750667,3372.111111111111111111111111,6047.411748931199,17398.000000,0.000000,30184.000000,7546.000000,13654.630301354433,27968.000000,0.000000,30251.000000,7562.750000,7461.108468808997,17398.000000,1326.000000,1,2,0,0,100,100,164.75007413753335,164.75007413753335,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,12125.605456522455,292.0,0.4,19242.808659263897,5,614,5,758,65535,64240,4,20,3372.111111111111111111111111,6047.411748931199,17398.000000,0.000000,0,0,0,0
10.64.69.76:52286-10.64.69.20:5000,10.64.69.76,52286,10.64.69.20,5000,6,2025-08-16T10:06:56.102848,29568,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,43797.34848484848,338.2034632034632,3285.333333333333333333333333,5064.312687818555,12158.000000,0.000000,29102.000000,7275.500000,13115.278888888843,26886.000000,0.000000,29297.000000,7324.250000,5524.811210952522,12158.000000,2421.000000,1,2,0,0,100,100,169.1017316017316,169.1017316017316,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,12817.911255411254,248.0,0.4,16774.891774891774,5,625,5,670,65535,64240,4,20,3285.333333333333333333333333,5064.312687818555,12158.000000,0.000000,0,0,0,0
10.64.69.76:52295-10.64.69.20:5000,10.64.69.76,52295,10.64.69.20,5000,6,2025-08-16T10:07:01.102338,22824,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,60112.162635821944,438.1352961794602,2536.000000,4652.377617949773,13110.000000,0.000000,22792.000000,5698.000000,10790.70936809377,21871.000000,0.000000,22701.000000,5675.250000,5842.7442967039615,13110.000000,893.000000,1,2,0,0,100,100,219.0676480897301,219.0676480897301,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,16123.378899404135,292.0,0.4,25587.101296880475,5,614,5,758,65535,64240,4,20,2536.000000,4652.377617949773,13110.000000,0.000000,0,0,0,0
10.64.69.76:52296-10.64.69.20:5000,10.64.69.76,52296,10.64.69.20,5000,6,2025-08-16T10:07:01.102339,29727,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,43563.09079288189,336.3945234971575,3303.000000,5960.426368977307,15523.000000,0.000000,29698.000000,7424.500000,13801.100475445186,28118.000000,0.000000,29400.000000,7350.000000,7466.538198299575,15523.000000,780.000000,1,2,0,0,100,100,168.19726174857874,168.19726174857874,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,12749.352440542269,248.0,0.4,16685.16836545901,5,625,5,670,65535,64240,4,20,3303.000000,5960.426368977307,15523.000000,0.000000,0,0,0,0
10.64.69.20:48012-13.107.246.58:443,10.64.69.20,48012,13.107.246.58,443,6,2025-08-16T10:07:02.011731,228827,1,1,66,66,66,66,66.0,0,66,66,66.0,0,576.855003998654,8.740227333312939,228827.000000,0,228827.000000,228827.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.3701136666564695,4.3701136666564695,66,66,66.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,66.0,66.0,66.0,20,0,0.0,0.0,0,0.0,0.0,1,66,1,66,0,0,0,32,228827.000000,0,228827.000000,228827.000000,0,0,0,0
10.64.69.20:48024-13.107.246.58:443,10.64.69.20,48024,13.107.246.58,443,6,2025-08-16T10:07:04.252100,90008,1,1,66,66,66,66,66.0,0,66,66,66.0,0,1466.5363078837436,22.22024708914763,90008.000000,0,90008.000000,90008.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11.110123544573815,11.110123544573815,66,66,66.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,66.0,66.0,66.0,20,0,0.0,0.0,0,0.0,0.0,1,66,1,66,0,0,0,32,90008.000000,0,90008.000000,90008.000000,0,0,0,0
10.64.69.76:52305-10.64.69.20:5000,10.64.69.76,52305,10.64.69.20,5000,6,2025-08-16T10:07:06.103246,53950,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,25430.954587581095,185.35681186283597,5994.444444444444444444444444,11049.070278886717,32097.000000,1.000000,53790.000000,13447.500000,25682.28636628756,51949.000000,1.000000,53732.000000,13433.000000,13906.190348186667,32097.000000,1844.000000,1,2,0,0,100,100,92.67840593141798,92.67840593141798,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,6821.130676552363,292.0,0.4,10824.837812789621,5,614,5,758,65535,64240,4,20,5994.444444444444444444444444,11049.070278886717,32097.000000,1.000000,0,0,0,0
10.64.69.76:52306-10.64.69.20:5000,10.64.69.76,52306,10.64.69.20,5000,6,2025-08-16T10:07:06.103246,54517,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,23754.058367114845,183.42902213988296,6057.444444444444444444444444,10436.824877700008,27098.000000,0.000000,53790.000000,13447.500000,25682.98447740579,51950.000000,0.000000,54079.000000,13519.750000,12602.081478205628,27098.000000,2181.000000,1,2,0,0,100,100,91.71451106994148,91.71451106994148,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,6951.9599391015645,248.0,0.4,9098.079498138195,5,625,5,670,65535,64240,4,20,6057.444444444444444444444444,10436.824877700008,27098.000000,0.000000,0,0,0,0
10.64.69.76:52311-10.64.69.20:5000,10.64.69.76,52311,10.64.69.20,5000,6,2025-08-16T10:07:11.101702,30612,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,44819.02521886842,326.66928002090685,3401.333333333333333333333333,5681.470232255027,14595.000000,1.000000,30557.000000,7639.250000,13888.13813715383,28458.000000,1.000000,30514.000000,7628.500000,6628.772862805503,14595.000000,1912.000000,1,2,0,0,100,100,163.33464001045343,163.33464001045343,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,12021.429504769372,292.0,0.4,19077.48595322096,5,614,5,758,65535,64240,4,20,3401.333333333333333333333333,5681.470232255027,14595.000000,1.000000,0,0,0,0
10.64.69.76:52312-10.64.69.20:5000,10.64.69.76,52312,10.64.69.20,5000,6,2025-08-16T10:07:11.101703,31847,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,40663.1707853173,314.001318805539,3538.555555555555555555555556,6086.3011367971085,17006.000000,16.000000,31831.000000,7957.750000,13668.099535658446,28459.000000,962.000000,31577.000000,7894.250000,7376.830230525846,17006.000000,1863.000000,1,2,0,0,100,100,157.0006594027695,157.0006594027695,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,11900.649982729927,248.0,0.4,15574.465412754733,5,625,5,670,65535,64240,4,20,3538.555555555555555555555556,6086.3011367971085,17006.000000,16.000000,0,0,0,0
10.64.69.76:52321-10.64.69.20:5000,10.64.69.76,52321,10.64.69.20,5000,6,2025-08-16T10:07:16.102051,19674,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,69736.70834604045,508.2850462539392,2186.000000,3553.741514235384,10802.000000,0.000000,19619.000000,4904.750000,8383.451054508121,17380.000000,0.000000,19547.000000,4886.750000,4122.042808689239,10802.000000,1592.000000,1,2,0,0,100,100,254.1425231269696,254.1425231269696,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,18704.889702144963,292.0,0.4,29683.84670123005,5,614,5,758,65535,64240,4,20,2186.000000,3553.741514235384,10802.000000,0.000000,0,0,0,0
10.64.69.76:52322-10.64.69.20:5000,10.64.69.76,52322,10.64.69.20,5000,6,2025-08-16T10:07:16.102052,37038,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,34964.09093363572,269.9929801825152,4115.333333333333333333333333,6242.171757489536,18962.000000,0.000000,33224.000000,8306.000000,15156.080473965996,30985.000000,0.000000,36202.000000,9050.500000,7193.083460287852,18962.000000,2101.000000,1,2,0,0,100,100,134.9964900912576,134.9964900912576,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,10232.733948917328,248.0,0.4,13391.651817052756,5,625,5,670,65535,64240,4,20,4115.333333333333333333333333,6242.171757489536,18962.000000,0.000000,0,0,0,0
10.64.69.76:52331-10.64.69.20:5000,10.64.69.76,52331,10.64.69.20,5000,6,2025-08-16T10:07:21.101635,29597,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,46356.04959962158,337.8720816298949,3288.555555555555555555555556,6526.654677380884,19530.000000,0.000000,29572.000000,7393.000000,13677.315452968101,27898.000000,0.000000,29469.000000,7367.250000,8607.222137058314,19530.000000,1038.000000,1,2,0,0,100,100,168.93604081494746,168.93604081494746,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,12433.692603980135,292.0,0.4,19731.729567185863,5,614,5,758,65535,64240,4,20,3288.555555555555555555555556,6526.654677380884,19530.000000,0.000000,0,0,0,0
10.64.69.76:52332-10.64.69.20:5000,10.64.69.76,52332,10.64.69.20,5000,6,2025-08-16T10:07:21.101636,33328,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,38856.21699471915,300.04800768122897,3703.111111111111111111111111,6673.455709833633,17469.000000,0.000000,33263.000000,8315.750000,15910.526963303259,32169.000000,0.000000,32968.000000,8242.000000,8334.837650888388,17469.000000,1001.000000,1,2,0,0,100,100,150.02400384061448,150.02400384061448,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,11371.819491118578,248.0,0.4,14882.381180988958,5,625,5,670,65535,64240,4,20,3703.111111111111111111111111,6673.455709833633,17469.000000,0.000000,0,0,0,0
10.64.69.76:52337-10.64.69.20:5000,10.64.69.76,52337,10.64.69.20,5000,6,2025-08-16T10:07:25.671331,22524,5,5,614,758,368,60,122.8,137.0955870916347,364,54,151.6,137.9956521054196,60912.804120049725,443.97087551056654,2502.666666666666666666666667,5030.698982248889,15562.000000,1.000000,22477.000000,5619.250000,9575.87135721862,19864.000000,1.000000,22147.000000,5536.750000,6748.861897880758,15562.000000,981.000000,1,2,0,0,100,100,221.98543775528327,221.98543775528327,54,368,137.2,130.56526677830092,17047.288888888892,2,2,0,3,9,0,0,0,1.0,137.2,122.8,151.6,100,368.0,0.2,16338.128218788848,292.0,0.4,25927.899129817084,5,614,5,758,65535,64240,4,20,2502.666666666666666666666667,5030.698982248889,15562.000000,1.000000,0,0,0,0
10.64.69.76:52338-10.64.69.20:5000,10.64.69.76,52338,10.64.69.20,5000,6,2025-08-16T10:07:25.671331,29444,5,5,625,670,379,60,125.0,142.01408380861386,261,54,134.0,104.58728412192373,43981.795951637,339.6277679663089,3271.555555555555555555555556,5239.111735569091,13295.000000,0.000000,29396.000000,7349.000000,13014.356559840624,26783.000000,0.000000,28850.000000,7212.500000,6019.800965701995,13295.000000,1803.000000,1,2,0,0,100,100,169.81388398315445,169.81388398315445,54,379,129.5,117.67587310536987,13847.611111111113,2,2,0,3,9,0,0,0,1.0,129.5,125.0,134.0,100,379.0,0.2,12871.892405923109,248.0,0.4,16845.537291128923,5,625,5,670,65535,64240,4,20,3271.555555555555555555555556,5239.111735569091,13295.000000,0.000000,0,0,0,0
